frame_idx,time_sec,rat_a_slot,rat_b_slot,rat_a_track_id,rat_b_track_id,zone,contact_type,investigator_slot,nose_nose_dist_px,nose_nose_dist_bl,nose_tailbase_dist_px,nose_tailbase_dist_bl,centroid_dist_px,centroid_dist_bl,mask_iou,body_length_a_px,body_length_b_px,velocity_a_px,velocity_b_px,orientation_cos,quality_flag,bout_id
249,8.3,0,1,1,2,independent,,,714.2,2.6366,459.0,1.6944,380.5,1.4046,0.0,257.7,281.1,5.9,14.1,-0.8665,,
250,8.3333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
251,8.3667,0,1,1,2,independent,,,746.3,2.7587,484.7,1.7917,403.0,1.4898,0.0,262.4,284.0,3.4,8.0,-0.8941,,
252,8.4,0,1,1,2,independent,,,756.4,2.7964,495.6,1.8323,415.9,1.5374,0.0,261.1,279.2,3.0,9.7,-0.8945,,
253,8.4333,0,1,1,2,independent,,,769.0,2.8426,509.4,1.8832,431.8,1.5961,0.0,259.7,281.7,3.7,9.9,-0.8994,,
254,8.4667,0,1,1,2,independent,,,777.5,2.8782,521.1,1.9289,446.1,1.6512,0.0,256.6,276.9,3.6,11.4,-0.8938,,
255,8.5,0,1,1,2,independent,,,787.3,2.9183,533.7,1.9782,457.6,1.696,0.0,253.9,279.3,1.7,15.4,-0.8899,,
256,8.5333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
257,8.5667,0,1,1,2,independent,,,800.9,2.987,555.4,2.0712,475.3,1.7727,0.0,242.8,277.2,3.4,11.5,-0.9065,,
258,8.6,0,1,1,2,independent,,,808.6,3.0273,562.4,2.1057,482.4,1.806,0.0,246.4,269.3,2.5,14.6,-0.9134,,
259,8.6333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
260,8.6667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
261,8.7,0,1,1,2,independent,,,827.6,3.1251,581.8,2.1968,499.4,1.8856,0.0,245.9,264.0,1.0,4.4,-0.9309,,
262,8.7333,0,1,1,2,independent,,,830.3,3.1467,582.4,2.2071,500.7,1.8977,0.0,247.9,262.4,0.3,2.5,-0.931,,
263,8.7667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
264,8.8,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
265,8.8333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
266,8.8667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
267,8.9,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
268,8.9333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
269,8.9667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
270,9.0,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
271,9.0333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
272,9.0667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
273,9.1,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
274,9.1333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
275,9.1667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
276,9.2,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
277,9.2333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
278,9.2667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
279,9.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
280,9.3333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
281,9.3667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
282,9.4,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
283,9.4333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
284,9.4667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
285,9.5,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
286,9.5333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
287,9.5667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
